subj,professores
Computational Tools for Data Science,Celia Oliveira
Computational Tools for Data Science,Natalia Costa
Computational Tools for Data Science,Carla Ferreira
Mathematical Foundations for Artificial Intelligence,Celia Oliveira
Mathematical Foundations for Artificial Intelligence,Beatriz Rodrigues
Mathematical Foundations for Artificial Intelligence,Ana Oliveira
Fundamentals of Artificial Intelligence,Clara Pereira
Fundamentals of Artificial Intelligence,Matilde Carvalho
Fundamentals of Artificial Intelligence,Ana Oliveira
Statistical Models for AI,Matilde Silva
Machine Learning Algorithms,Celia Oliveira
Machine Learning Algorithms,Natalia Costa
Machine Learning Algorithms,Carla Ferreira
Cálculo,Silvia Fernandes
Cálculo,Carla Sousa
Matemática Discreta e Álgebra Linear,Carla Martins
Teoria dos Circuitos Elétricos,Carla Sousa
Teoria dos Circuitos Elétricos,Maria Rodrigues
Teoria dos Circuitos Elétricos,Matilde Carvalho
Sistemas Digitais,Silvia Fernandes
Sistemas Digitais,Clara Oliveira
Sistemas Digitais,Carla Ferreira
Programação Imperativa,Matilde Silva
Análise Matemática,Carla Martins
Ciência e Engenharia dos Materiais,Natalia Costa
Processos Industriais de Fabrico I,Carla Ferreira
Algoritmos e Estruturas de Dados,Beatriz Rodrigues
Introdução à Engenharia e Gestão Industrial,Ana Oliveira
Introdução ao Direito,Bruna Rodrigues
Direito Constitucional,Beatriz Martins
Noções de Contabilidade e Relato Financeiro,Natalia Fernandes
Direito da União Europeia,Celia Carvalho
Economia Política,Natalia Santos
